,County_name,State_name,Tot_Population_CEN_2010,state,county,tract
158,San Diego County,California,4316,06,073,008337
159,San Diego County,California,1853,06,073,008339
160,San Diego County,California,8988,06,073,008340
161,San Diego County,California,7614,06,073,008341
162,San Diego County,California,4587,06,073,008343
163,San Diego County,California,3462,06,073,008344
164,San Diego County,California,3254,06,073,008345
165,San Diego County,California,4615,06,073,008346
166,San Diego County,California,6358,06,073,008347
167,San Diego County,California,5259,06,073,008348
168,San Diego County,California,3514,06,073,008349
169,San Diego County,California,6493,06,073,008350
170,San Diego County,California,4261,06,073,008351
171,San Diego County,California,3517,06,073,008352
172,San Diego County,California,5048,06,073,008353
173,San Diego County,California,5972,06,073,008354
174,San Diego County,California,3365,06,073,008355
175,San Diego County,California,3629,06,073,008356
176,San Diego County,California,4345,06,073,008357
177,San Diego County,California,6554,06,073,008358
178,San Diego County,California,3975,06,073,008359
179,San Diego County,California,5857,06,073,008360
180,San Diego County,California,2642,06,073,008361
181,San Diego County,California,3141,06,073,008362
182,San Diego County,California,4921,06,073,008363
183,San Diego County,California,4992,06,073,008364
184,San Diego County,California,2979,06,073,008365
185,San Diego County,California,5881,06,073,008366
186,San Diego County,California,5271,06,073,008501
187,San Diego County,California,6241,06,073,008502
188,San Diego County,California,6599,06,073,008503
189,San Diego County,California,6021,06,073,008504
190,San Diego County,California,5605,06,073,008505
191,San Diego County,California,4042,06,073,008506
192,San Diego County,California,7627,06,073,008507
193,San Diego County,California,6647,06,073,008509
194,San Diego County,California,6626,06,073,008510
195,San Diego County,California,2633,06,073,008511
196,San Diego County,California,4193,06,073,008512
197,San Diego County,California,2691,06,073,008513
198,San Diego County,California,6864,06,073,008600
199,San Diego County,California,3361,06,073,008701
200,San Diego County,California,5206,06,073,008702
201,San Diego County,California,6188,06,073,008800
202,San Diego County,California,4805,06,073,008901
203,San Diego County,California,2221,06,073,008902
204,San Diego County,California,3861,06,073,009000
205,San Diego County,California,5318,06,073,009101
206,San Diego County,California,3537,06,073,009102
207,San Diego County,California,3679,06,073,009103
208,San Diego County,California,2775,06,073,009104
209,San Diego County,California,3882,06,073,009106
210,San Diego County,California,3688,06,073,009107
211,San Diego County,California,5014,06,073,009201
212,San Diego County,California,4428,06,073,009202
213,San Diego County,California,4164,06,073,009301
214,San Diego County,California,7944,06,073,009304
215,San Diego County,California,4488,06,073,009305
216,San Diego County,California,5589,06,073,009306
217,San Diego County,California,5028,06,073,009400
218,San Diego County,California,3659,06,073,009502
219,San Diego County,California,5914,06,073,009504
220,San Diego County,California,6442,06,073,009505
221,San Diego County,California,4258,06,073,009506
222,San Diego County,California,3369,06,073,009507
223,San Diego County,California,4136,06,073,009509
224,San Diego County,California,5087,06,073,009510
225,San Diego County,California,4427,06,073,009511
226,San Diego County,California,3775,06,073,009602
227,San Diego County,California,4533,06,073,009603
228,San Diego County,California,3179,06,073,009604
229,San Diego County,California,3446,06,073,009703
230,San Diego County,California,5750,06,073,009704
231,San Diego County,California,3652,06,073,009705
232,San Diego County,California,6996,06,073,009706
233,San Diego County,California,4894,06,073,009801
234,San Diego County,California,6101,06,073,009802
235,San Diego County,California,4773,06,073,009804
236,San Diego County,California,4715,06,073,009805
237,San Diego County,California,626,06,073,009901
238,San Diego County,California,2,06,073,009902
239,San Diego County,California,4097,06,073,010001
240,San Diego County,California,5906,06,073,010003
241,San Diego County,California,4679,06,073,010004
242,San Diego County,California,7366,06,073,010005
243,San Diego County,California,6693,06,073,010009
244,San Diego County,California,5510,06,073,010010
245,San Diego County,California,3633,06,073,010011
246,San Diego County,California,4581,06,073,010012
247,San Diego County,California,5484,06,073,010013
248,San Diego County,California,17679,06,073,010014
249,San Diego County,California,2803,06,073,010015
250,San Diego County,California,5569,06,073,010103
251,San Diego County,California,3217,06,073,010104
252,San Diego County,California,5200,06,073,010106
253,San Diego County,California,6498,06,073,010107
254,San Diego County,California,4595,06,073,010109
255,San Diego County,California,7298,06,073,010110
256,San Diego County,California,3072,06,073,010111
257,San Diego County,California,4764,06,073,010112
258,San Diego County,California,6800,06,073,010200
259,San Diego County,California,4507,06,073,010300
260,San Diego County,California,2458,06,073,010401
261,San Diego County,California,5558,06,073,010402
262,San Diego County,California,1433,06,073,010501
263,San Diego County,California,5514,06,073,010502
264,San Diego County,California,2127,06,073,010601
265,San Diego County,California,2390,06,073,010800
266,San Diego County,California,1750,06,073,010900
267,San Diego County,California,2799,06,073,011000
268,San Diego County,California,3698,06,073,011100
269,San Diego County,California,6520,06,073,011300
270,San Diego County,California,5891,06,073,011601
271,San Diego County,California,3228,06,073,011602
272,San Diego County,California,6773,06,073,011700
273,San Diego County,California,3961,06,073,011801
274,San Diego County,California,6741,06,073,011802
275,San Diego County,California,5246,06,073,011902
276,San Diego County,California,3285,06,073,012002
277,San Diego County,California,3351,06,073,012003
278,San Diego County,California,2235,06,073,012101
279,San Diego County,California,3279,06,073,012102
280,San Diego County,California,3326,06,073,012200
281,San Diego County,California,1586,06,073,012302
282,San Diego County,California,3431,06,073,012303
283,San Diego County,California,3434,06,073,012304
284,San Diego County,California,3676,06,073,012401
285,San Diego County,California,5445,06,073,012402
286,San Diego County,California,3858,06,073,012501
287,San Diego County,California,4466,06,073,012502
288,San Diego County,California,5047,06,073,012600
289,San Diego County,California,4955,06,073,012700
290,San Diego County,California,3913,06,073,012800
291,San Diego County,California,3374,06,073,012900
292,San Diego County,California,5903,06,073,013000
293,San Diego County,California,6487,06,073,013102
294,San Diego County,California,2668,06,073,013103
295,San Diego County,California,5893,06,073,013104
296,San Diego County,California,6464,06,073,013203
297,San Diego County,California,4014,06,073,013204
298,San Diego County,California,2381,06,073,013205
299,San Diego County,California,6544,06,073,013206
300,San Diego County,California,5180,06,073,013301
301,San Diego County,California,4933,06,073,013302
302,San Diego County,California,4909,06,073,013303
303,San Diego County,California,4773,06,073,013306
304,San Diego County,California,3966,06,073,013307
305,San Diego County,California,3731,06,073,013308
306,San Diego County,California,7005,06,073,013309
307,San Diego County,California,28960,06,073,013310
308,San Diego County,California,9463,06,073,013311
309,San Diego County,California,2853,06,073,013312
310,San Diego County,California,9464,06,073,013313
311,San Diego County,California,14837,06,073,013314
312,San Diego County,California,4203,06,073,013401
313,San Diego County,California,5380,06,073,013409
314,San Diego County,California,7073,06,073,013410
315,San Diego County,California,4999,06,073,013411
316,San Diego County,California,5086,06,073,013412
317,San Diego County,California,7227,06,073,013414
318,San Diego County,California,1567,06,073,013415
319,San Diego County,California,3780,06,073,013416
320,San Diego County,California,2087,06,073,013417
321,San Diego County,California,5998,06,073,013418
322,San Diego County,California,7922,06,073,013419
323,San Diego County,California,3471,06,073,013420
324,San Diego County,California,4695,06,073,013421
325,San Diego County,California,5776,06,073,013503
326,San Diego County,California,3471,06,073,013504
327,San Diego County,California,4725,06,073,013505
328,San Diego County,California,3509,06,073,013506
329,San Diego County,California,5053,06,073,013601
330,San Diego County,California,6147,06,073,013604
331,San Diego County,California,5622,06,073,013605
332,San Diego County,California,6386,06,073,013606
333,San Diego County,California,2352,06,073,013701
334,San Diego County,California,5357,06,073,013702
335,San Diego County,California,4771,06,073,013801
336,San Diego County,California,2957,06,073,013802
337,San Diego County,California,4116,06,073,013903
338,San Diego County,California,3676,06,073,013905
339,San Diego County,California,4701,06,073,013906
340,San Diego County,California,4185,06,073,013907
341,San Diego County,California,3708,06,073,013908
342,San Diego County,California,4489,06,073,013909
343,San Diego County,California,4630,06,073,014001
344,San Diego County,California,4488,06,073,014002
345,San Diego County,California,3507,06,073,014101
346,San Diego County,California,3768,06,073,014102
347,San Diego County,California,6277,06,073,014200
348,San Diego County,California,3618,06,073,014300
349,San Diego County,California,3523,06,073,014400
350,San Diego County,California,3749,06,073,014500
351,San Diego County,California,4795,06,073,014601
352,San Diego County,California,4729,06,073,014602
353,San Diego County,California,7605,06,073,014700
354,San Diego County,California,4690,06,073,014803
355,San Diego County,California,4351,06,073,014804
356,San Diego County,California,4328,06,073,014805
357,San Diego County,California,2577,06,073,014806
358,San Diego County,California,4243,06,073,014901
359,San Diego County,California,3186,06,073,014902
360,San Diego County,California,6193,06,073,015000
361,San Diego County,California,4769,06,073,015100
362,San Diego County,California,3879,06,073,015200
363,San Diego County,California,3179,06,073,015301
364,San Diego County,California,4075,06,073,015302
365,San Diego County,California,2508,06,073,015403
366,San Diego County,California,7626,06,073,015404
367,San Diego County,California,5765,06,073,015405
368,San Diego County,California,2492,06,073,015406
369,San Diego County,California,4955,06,073,015501
370,San Diego County,California,2748,06,073,015502
371,San Diego County,California,5937,06,073,015601
372,San Diego County,California,2536,06,073,015602
373,San Diego County,California,6239,06,073,015701
374,San Diego County,California,7102,06,073,015703
375,San Diego County,California,4024,06,073,015704
376,San Diego County,California,3550,06,073,015801
377,San Diego County,California,4673,06,073,015802
378,San Diego County,California,3450,06,073,015901
379,San Diego County,California,5220,06,073,015902
380,San Diego County,California,2419,06,073,016000
381,San Diego County,California,5788,06,073,016100
382,San Diego County,California,5843,06,073,016201
383,San Diego County,California,3337,06,073,016202
384,San Diego County,California,4919,06,073,016301
385,San Diego County,California,5444,06,073,016302
386,San Diego County,California,4996,06,073,016401
387,San Diego County,California,7452,06,073,016402
388,San Diego County,California,6915,06,073,016502
389,San Diego County,California,2784,06,073,016503
390,San Diego County,California,6253,06,073,016504
391,San Diego County,California,7339,06,073,016605
392,San Diego County,California,3388,06,073,016606
393,San Diego County,California,6365,06,073,016607
394,San Diego County,California,2526,06,073,016608
395,San Diego County,California,5227,06,073,016609
396,San Diego County,California,4163,06,073,016610
397,San Diego County,California,6143,06,073,016612
